name,description
ANTICOAGULANTS AND HEMOSTATICS DRUGS,Anticoagulant is An agent that is used to prevent the formation of blood clots and Hemostatics is a specific type of antihemorrhagic agent that works by contracting tissue to seal injured blood vessels.
ANTICONVULSANTS AND DRUGS FOR TRIGEMINAL NEURALGIA,Anticonvulsants also commonly known as antiepileptic drugs are a diverse group of pharmacological agents used in the treatment of epileptic seizures.
ANTIDEPRESSANTS,Antidepressants are drugs used for the treatment of major depressive disorder and other conditions.
ANTIEMETIC DRUGS,Antiemetic drugs are medications used to treat nausea and vomiting.
ANTIEPILEPTICS/ ANTICONVULSANTS,Antiepileptic/Anticonvulsants drugs are used for the treatment of epileptic seizures/ non-epileptic neurological conditions and psychiatric disorders.
ANTI-FIBRINOLYTICS,Antifibrinolytics are drugs that promote blood clotting by preventing or slowing down fibrinolysis(the break down of blood clots).
ANTIHISTAMINES,Antihistamines are a class of drugs commonly used to treat hay fever and symptoms of allergies.
ANTIHYPERTENSIVE DRUGS,Antihypertensives are a class of drugs that are used to treat hypertension (high blood pressure). Antihypertensive therapy seeks to prevent the complications of high blood pressure.
ANTIMALARIAL DRUGS,Antimalarial drugs are used for the treatment and prevention of malaria infection.
ANTIMUSCARINIC DRUGS,Antimuscarinic medications are a specific group of anticholinergic drugs that block muscarinic receptors from the action of acetylcholine. They reduce the symptoms of incontinence by reducing bladder muscle spasms.
ANTIPROTOZOAL DRUGS,Antiprotozoal drugs are medicines that treat infections caused by protozoa.
ANTIPRURITICS,Antipruritics/ also known as anti-itch drugs/ are medications that inhibit the itching (Latin: pruritus) often associated with sunburns/ allergic reactions/ eczema/ psoriasis/ chickenpox/ fungal infections/ insect bites and stings
ANTIPSYCHOTICS,Antipsychotic drugs are a class of medicines used to treat psychosis and other mental and emotional conditions.
ANTITHROMBOTIC DRUGS,Antithrombotic drugs are used to reduces the formation of blood clots.(used against or tending to prevent thrombosis.)
ANTITHYROID DRUGS,Antithyroid drugs (also called thionamides) are most often used to treat an overactive thyroid (hyperthyroidism) caused by Graves' disease.
ANTIVENOMS,Antivenoms drugs are used to stop snake venom from binding to tissues and causing serious blood/ tissue/ or nervous system problems.
ANTIALLERGIC DRUGS,Any drug of this kind that prevents or relieves an allergy.
ANTI-DIARRHEAL DRUGS,Any drug that relieves symptoms of diarrhea.
BLOOD PRODUCTS AND PLASMA SUBSTITUTES,Any liquid used to replace blood plasma/ usually a saline solution/ often with serum albumins/ dextrans or other preparations. They are also used to treat dehydration.
BENZODIAZEPINES,Benzodiazepines (benzos) are a class of drugs primarily used for treating anxiety/ but they also are effective in treating several other conditions.
CONTRACEPTIVE DEVICES,Birth control/ also known as contraception/ anticonception/ and fertility control/ is a method or device used to prevent pregnancy.
CHEMOTHERAPY DRUGS,Chemotherapy is an aggressive form of chemical drug therapy meant to destroy rapidly growing cells in the body.Drugs used to destroy cancer cells.
CORTICISTEROIDS,Corticosteroids are a class of chemicals that includes the steroid hormones that are produced in the adrenal cortex of vertebrates.
CYTOTOXIC ANTINEOPLASTICS,Cytotoxic drugs (sometimes known as antineoplastics) describe a group of medicines that contain chemicals which are toxic to cells.
DECARBOXYLASE INHIBITORS,Decarboxylase inhibitors are a class of medications used to treat symptoms of Parkinson's disease.
DECONGESTANT(ANTIHISTAMINES),Decongestants and Antihistamines are drugs used to treat cold and allergy symptoms.
DERMATOLOGICAL PREPARATIONS,Dermatological preparation deals with the diagnosis and treatment of diseases and disorders of the skin.
DIURETICS,Diuretics are drugs that can increase the amount of water and sodium that is excreted in the urine.
NASAL DECONGESTANTS,Drug that is used to relieve nasal congestion in the upper respiratory tract.
THROMBOPOIETIC DRUGS,Drug that may increase the number of platelets in the bloodstream.
RESPIRATORY TRACT DRUGS,Drugs and medicines for conditions and diseases relating to the lungs and/or breathing.
GASTROINTESTINAL DRUGS,Drugs and medicines for the gastrointestinal organs and diseases relating to them.
ENDOCRINOLOGY DRUGS,Drugs for conditions relating to hormone-manufacturing glands such as the pituitary.
ANTI-RHEUMATIC DRUGS,Drugs indicated for the treatment of several inflammatory arthritides/ including rheumatoid arthritis (RA)/ as well as for the management of other connective tissue diseases and some cancers.
PSYCHOTHERAPEUTIC DRUGS,Drugs that are prescribed for their effects in relieving symptoms of anxiety.
ANALGESICS AND ANTI INFLAMMATORY DRUGS (OPIOIDS),Drugs that are used to relieve pain and reduce inflammation.
ELECTROLYTES AND MINERALS,Drugs that conduct nervous impulses/ contracting muscles/ keeping you hydrated and regulating your body’s pH levels.
ANTIOXIDANTS,Drugs that inhibit oxidation/ caused by free radicals. They are commonly used in treatment of diabetes.
ANTIMETABOLITES,Drugs that interfere with one or more enzymes or their reactions that are necessary for DNA synthesis. They are forms of chemotherapy drug/ most commonly used therapies to treat cancer.
ANTIHAEMORRHAGICS,Drugs that reduce or prevent bleeding
LAXATIVE,Drugs that stimulate or facilitate evacuation of the bowels.
OVULATION STIMULANTS,Drugs that stimulates ovulation.
IRON CHELATORS,Drugs used for treatment of iron overload.
ANTIDIABETICS,Drugs used in diabetes treat diabetes mellitus by lowering glucose levels in the blood. With the exceptions of insulin.
LIPID LOWERING AGENTS,Drugs used in the treatment of elevated serum lipids (hyperlipidemias) are targeted to decrease production of lipoprotein or cholesterol.
ANTIANXIETY DRUGS,Drugs used to prevent anxiety and treat anxiety related to several anxiety disorders.
DISINFECTANTS AND ANTISEPTICS,Drugs used to prevention of germ growth near burns.
ASTRINGENTS,Drugs used to reduce swollen mucous membranes that result from inflammations of the nasal/ gastrointestinal/ and urinary passages.
BICARBONATES,Drugs used to relieve heartburn/ sour stomach/ or acid indigestion by neutralizing excess stomach acid.
ANTI-INFLAMMATORY AND ANTIPRURITIC MEDICINES,Drugs used to treat a variety of skin conditions.
EPOETIN DRUGS,Drugs used to treat anemia (low red blood cell count).
UV RAYS,Drugs used to treat certain skin conditions such as psoriasis/ vitiligo/ and skin tumors of cutaneous T-cell lymphoma.
SENNOSIDES,Drugs used to treat constipation and empty the large intestine before surgery.
ANTINEUTROPENIC DRUGS,Drugs/agents used to treat patients with cancer or conditions related to cancer.
EMERGENCY DRUGS,Emergency drugs are concerned with the care of illnesses or injuries requiring immediate medical attention.
ENZYME INHIBITORS,Enzyme inhibitors are molecules that bind to enzymes and lower their activity.
 EXPECTORANTS,Expectorants drugs are used to increase the output of bronchial secretions/ enhance the clearance of bronchial exudate/ and promote a productive cough.
GLYCOGENOLYTIC HORMONES,Glycogenolytic hormones drug used to treat hypoglycemia in diabetes mellitus and as a part of gastrointestinal imaging procedures.
HORMONAL THERAPY ANTINEOPLASTICS,Hormonal anticancer drugs are used to reduce or prevent proliferation of cancers that are responsive to specific levels of hormones.
IMMUNOGLOBULINS,Immunoglobulins are biological preparation that provides active acquired immunity to a particular disease.
IMMUNOSUPPRESSANT DRUGS,Immunosuppressant drugs are a class of drugs that suppress or reduce the strength of the bodyâ€™s immune system. They are also called anti-rejection drugs. One of the primary uses of immunosuppressant drugs is to lower the bodyâ€™s ability to reject a transplanted organ
IMMUNOTHERAPY ANTINEOPLASTICS,Immunotherapy anticancer drugs are used treat cancer by boosting the body's natural defenses to fight cancer.
INTRAVENOUS FLUIDS,Intravenous fluids (usually shortened to 'IV' fluids) are liquids given to replace water/ sugar and salt that you might need if you are ill or having an operation/ and can't eat or drink as you would normally.
NON-STEROIDAL ANTI-INFLAMMATORY,Non-steroidal anti-inflammatory drugs is a class of analgesic medication that reduces pain/ fever and inflammation.
OCULAR LUBRICANTS,Ocular lubricant is used to relieve burning/ irritation/ and discomfort caused by dry eyes.
OPHTHALMIC LUBRICANTS AND IRRIGANTS,OPhthalmic lubricants are drugs used to treat dry and irritated eyes. Irrigant drug is used to wash and clean body cavities/ tissues or wounds.
OPTHALMOLOGICAL PREPARATIONS,Ophthalmic preparations are agents especially designed to be applied to the eyes. The eye is extremely sensitive and is easily irritated if the composition of the ophthalmic preparation is not appropriate.
OXYTOXICS ANTI-OXYTOCICS,Oxytoxics induces labor by stimulating contractions of the muscles of the uterus.
PROGESTOGENS,Progestogen are synthetic steroid hormones that activate the progesterone receptor in a similar way to progesterone but each individual progestin has its own distinctive effect.
SALINE LAXATIVES,Saline laxatives are a type of laxatives mainly used for treating occasional constipation.
ANTIASTHMATIC DRUGS,These drugs are used for the treatment of asthma. They may be useful either in the treatment or prevention of asthma attacks.
CARDIOVASCULAR DRUGS,These drugs work through the autonomic (automatic) nervous system by blocking nerve receptors that are called alpha receptors.
THYROID DRUGS,Thyroid drugs (thyroid hormones) are used to supplement low thyroid levels in people with hypothyroidism.
THYROID HORMONES,Thyroid hormone is well known for controlling metabolism/ growth/ and many other bodily functions.
VACCINES,Vaccine are biological preparation that provides active acquired immunity to a particular disease.
VITAMINS AND MINERALS (SUPPLIMENTS),Vitamins and minerals are substances that are required for normal metabolism. They are essential in small amounts to maintain good health.
ALDEHYDES,Aldehydes drugs are used as Therapeutic Targets for Cardiovascular Disease.
FLUID AND ELECTROLYTE,Drugs used to regulate the osmotic pressure in cells and help maintain the function of muscle and nerve cells.
GLUCOSE-ELEVATING AGENTS; METABOLIC & ENDOCRINE,Glucose elevating agents are used to treat hypoglycemia (low blood sugar). Metabolic & Endocrine are used to regulate pituitary cell function
GONADOTROPIN-RELEASING HORMONES,GnRH drugs are used to treat endometriosis/ fibroids/ infertility and prostate cancer.
IRRIGANT,Irrigant drug is used to wash and clean body cavities/ tissues or wounds.
LUBRICANTS,Lubricating drugs are used to reduce morbidity and to prevent complications.
NON-OPIOIDS ANALGESICS AND ANTI INFLAMMATORY DRUGS,Non-opioids Anti-inflammatory drugs (NSAIDs) control mild to moderate pain.
PHOSPHODIESTERASE TYPE-5 INHIBITORS,Phosphodiesterase type 5 (PDE5) inhibitors are drugs most commonly used to treat erectile dysfunction (ED).
RETINOID AND RELATED DRUGS,Retinoids are a group of medications related to vitamin A. They are used to treat various inflammatory skin disorders/ skin cancer/ and skin ageing.
SUGARS,Drugs used cautiously in patients with cardiac or pulmonary disease/ hypertension/ renal insufficiency/ urinary obstruction/ or hypovolemia.
VASOPRESSIN AND ANALOGUES,Vasopressin analogs are drugs used in the treatment of diabetes insipidus.
XANTHINE OXIDASE INHIBITORS,Xanthine oxidase inhibitors are drugs used in treatment of congestive heart failure and hyperuricemia.
CERUMENOLYTICS,Agents that soften hardened cerumen (earwax) and make it easier for it to be removed from the ear. They are softening agents/ which include types of oil/ emulsifying agents/ glycerin and other lubricating substances. Cerumenolytics are placed into the ears to soften earwax and ease discomfort.
